"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 04 20:49:30 GMT 2022","Sun Dec 04 20:49:30 GMT 2022","206","Gestor","Listar contas inativas","","","","GET - Listar todas as contas inativas",""
"passed","Sun Dec 04 20:49:35 GMT 2022","Sun Dec 04 20:49:35 GMT 2022","120","Gestor","Atualizar gestor","","","","PUT - Testar atualizar pessoa sem passar ID",""
"passed","Sun Dec 04 20:48:46 GMT 2022","Sun Dec 04 20:48:46 GMT 2022","251","Candidado","Deletar candidato","","","","DELETE - Testar deletar usuário com ID inválido",""
"passed","Sun Dec 04 20:48:50 GMT 2022","Sun Dec 04 20:48:51 GMT 2022","392","Candidado","Atualizar candidato","","","","PUT - Testar atualizar um candidato com nome inválido",""
"failed","Sun Dec 04 20:47:49 GMT 2022","Sun Dec 04 20:47:53 GMT 2022","4168","Avaliação","Deletar avaliação","","","","DELETE - Testar deletar avliação com ID incorreto",""
"passed","Sun Dec 04 20:49:47 GMT 2022","Sun Dec 04 20:49:47 GMT 2022","106","Inscrição","Listar inscrição por id","","","","GET - Testar listar inscrição por ID inválido",""
"passed","Sun Dec 04 20:49:10 GMT 2022","Sun Dec 04 20:49:11 GMT 2022","578","Formulário","Atualizar formulário","","","","PUT - Deve atualizar um formulário existente",""
"passed","Sun Dec 04 20:48:46 GMT 2022","Sun Dec 04 20:48:46 GMT 2022","115","Candidado","Deletar candidato","","","","DELETE - Testar deletar usuário sem passar ID",""
"passed","Sun Dec 04 20:48:37 GMT 2022","Sun Dec 04 20:48:38 GMT 2022","481","Candidado","Criar candidato","","","","POST - Testar criar candidato com CPF inválido",""
"passed","Sun Dec 04 20:49:10 GMT 2022","Sun Dec 04 20:49:10 GMT 2022","263","Formulário","Criar formulário","","","","POST - Testar criar formulário sem digitar curso",""
"passed","Sun Dec 04 20:49:33 GMT 2022","Sun Dec 04 20:49:34 GMT 2022","805","Gestor","Deletar gestor","","","","DELETE - Deve deletar um Gestor corretamente",""
"failed","Sun Dec 04 20:46:27 GMT 2022","Sun Dec 04 20:46:57 GMT 2022","30278","Avaliação","Criar Avaliação","","","","POST - Deve criar nova avaliação no banco de dados",""
"passed","Sun Dec 04 20:48:46 GMT 2022","Sun Dec 04 20:48:48 GMT 2022","2120","Candidado","Atualizar candidato","","","","PUT - Atualizar um candidato",""
"passed","Sun Dec 04 20:47:53 GMT 2022","Sun Dec 04 20:48:04 GMT 2022","11313","Avaliação","Listar avaliação","","","","GET - Listar todas as avaliações",""
"passed","Sun Dec 04 20:49:27 GMT 2022","Sun Dec 04 20:49:28 GMT 2022","647","Gestor","Listar gestor por id","","","","GET - Testar listar gestor passando id inexistente",""
"passed","Sun Dec 04 20:49:34 GMT 2022","Sun Dec 04 20:49:35 GMT 2022","790","Gestor","Atualizar gestor","","","","PUT - Deve atualizar um gestor corretamente",""
"passed","Sun Dec 04 20:48:33 GMT 2022","Sun Dec 04 20:48:37 GMT 2022","3410","Candidado","Criar candidato","","","","POST - Testar criar candidato com campos vazios",""
"passed","Sun Dec 04 20:48:40 GMT 2022","Sun Dec 04 20:48:46 GMT 2022","6021","Candidado","Deletar candidato","","","","DELETE - Deve deletar um usuário",""
"passed","Sun Dec 04 20:49:10 GMT 2022","Sun Dec 04 20:49:10 GMT 2022","112","Formulário","Deletar formulário","","","","DELETE - Testar deletar formulário com id inválido",""
"passed","Sun Dec 04 20:49:45 GMT 2022","Sun Dec 04 20:49:45 GMT 2022","391","Inscrição","Criar inscrição","","","","POST - Tentar criar inscrção sem candidato",""
"passed","Sun Dec 04 20:48:46 GMT 2022","Sun Dec 04 20:48:46 GMT 2022","137","Candidado","Deletar candidato","","","","DELETE - Testar deletar usuário com ID inexistente",""
"passed","Sun Dec 04 20:49:09 GMT 2022","Sun Dec 04 20:49:10 GMT 2022","130","Formulário","Criar formulário","","","","POST - Testar criar um formulário sem estar matriculado",""
"failed","Sun Dec 04 20:48:57 GMT 2022","Sun Dec 04 20:48:59 GMT 2022","2122","CRUD - Colaborador","Criar colaborador","","","","POST - Tentar criar gestor com conta de colaborador | Retorna mensagem de erro",""
"passed","Sun Dec 04 20:49:16 GMT 2022","Sun Dec 04 20:49:17 GMT 2022","915","Formulário","Listar todos os formulários","","","","GET - Listar todos os formulários",""
