"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Cadastro","Dados válidos","0","0","3","0","0"
"","Login","Dados inválidos","0","0","4","0","0"
"","Atualizar dados","Dados inválidos","0","0","2","0","0"
"","Inscrição","Dados inválidos","0","0","8","0","0"
"","Filtro","Dados válidos","0","0","2","0","0"
"","Inscrição","Dados válidos","0","0","3","0","0"
"","Excluir gestor","Dados válidos","0","0","1","0","0"
"","Login","Dados válidos","0","0","3","0","0"
"","Listar dados","Dados inválidos","0","0","1","0","0"
"","Atualizar dados","Dados válidos","0","0","1","0","0"
