"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 04 09:58:24 BRT 2022","Sun Dec 04 09:58:28 BRT 2022","4225","","Dashboard","","","","validar cadastrar colaborador não preenchendo campos retorna mensagem de erro ",""
"passed","Sun Dec 04 09:59:53 BRT 2022","Sun Dec 04 09:59:54 BRT 2022","1057","","Login","","","","Validar Fazer login com dados inválidos retorna mensagem de erro 'Email ou senha inválidos'",""
"passed","Sun Dec 04 09:59:10 BRT 2022","Sun Dec 04 09:59:13 BRT 2022","2400","","Dashboard","","","","validar editar próprio perfil com email não @dbccompany.com.br retorna mensagem de erro 'Só é válido o email com @dbccompany.com.br'",""
"passed","Sun Dec 04 09:58:58 BRT 2022","Sun Dec 04 09:59:10 BRT 2022","12124","","Dashboard","","","","validar editar gestor com email não @dbccompany.com.br retorna mensagem de erro 'Só é válido o email com @dbccompany.com.br'",""
"passed","Sun Dec 04 09:57:26 BRT 2022","Sun Dec 04 09:57:27 BRT 2022","1197","","Inscrição","","","","Validar preencher campo Cidade com dado inválido retorna mensagem de erro 'É necessário no mínimo 3 letras'",""
"passed","Sun Dec 04 09:57:36 BRT 2022","Sun Dec 04 09:57:49 BRT 2022","12331","","Dashboard","","","","validar buscar gestor pelo nome com sucesso",""
"passed","Sun Dec 04 09:59:54 BRT 2022","Sun Dec 04 09:59:55 BRT 2022","1157","","Login","","","","Validar fazer login com Email Invalido retorna mensagem de erro 'Email ou senha inválidos' ",""
"passed","Sun Dec 04 09:59:22 BRT 2022","Sun Dec 04 09:59:47 BRT 2022","25036","","Fluxo de inscrição","","","","validar fazer inscrição, avaliar inscrição e deletar ",""
"passed","Sun Dec 04 09:57:21 BRT 2022","Sun Dec 04 09:57:22 BRT 2022","1250","","Inscrição","","","","Validar preencher campo email com dado inválido retorna mensagem de erro 'Email inválido'",""
"passed","Sun Dec 04 09:57:22 BRT 2022","Sun Dec 04 09:57:23 BRT 2022","804","","Inscrição","","","","Validar botão 'próximo' permanece desativado ao preencher campo CPF com dado inválido",""
"passed","Sun Dec 04 09:57:27 BRT 2022","Sun Dec 04 09:57:28 BRT 2022","1049","","Inscrição","","","","Validar não preencher campos do Step 1 com dados válidos retorna mensagens de erro",""
"passed","Sun Dec 04 09:58:01 BRT 2022","Sun Dec 04 09:58:13 BRT 2022","11457","","Dashboard","","","","validar cadastrar administrador com sucesso",""
"passed","Sun Dec 04 09:57:04 BRT 2022","Sun Dec 04 09:57:15 BRT 2022","10510","","Inscrição","","","","Validar inscrição de candidato com sucesso",""
"passed","Sun Dec 04 09:58:13 BRT 2022","Sun Dec 04 09:58:24 BRT 2022","11246","","Dashboard","","","","validar cadastrar colaborador com sucesso",""
"passed","Sun Dec 04 09:57:24 BRT 2022","Sun Dec 04 09:57:26 BRT 2022","1289","","Inscrição","","","","Validar preencher campo RG com dado inválido retorna mensagem de erro 'O RG precisa ter no mínimo 7 caracteres'",""
"passed","Sun Dec 04 09:58:46 BRT 2022","Sun Dec 04 09:58:58 BRT 2022","11747","","Dashboard","","","","validar excluir gestor com sucesso",""
"passed","Sun Dec 04 09:57:49 BRT 2022","Sun Dec 04 09:58:01 BRT 2022","12601","","Dashboard","","","","validar buscar gestor pelo email com sucesso",""
"passed","Sun Dec 04 09:57:28 BRT 2022","Sun Dec 04 09:57:33 BRT 2022","5334","","Inscrição","","","","Validar botão 'próximo' desabilitado ao não preencher todos os campos obrigatórios do Step 2 com dados válidos",""
"passed","Sun Dec 04 09:57:15 BRT 2022","Sun Dec 04 09:57:18 BRT 2022","3707","","Inscrição","","","","Validar inscrição de candidato com dados válidos e marcando 'Não' para 'Você é matriculado em algum curso de graduação ou técnico?' retorna mensagem de erro",""
"passed","Sun Dec 04 09:59:50 BRT 2022","Sun Dec 04 09:59:51 BRT 2022","1860","","Login","","","","Validar fazer login do usuario admin com sucesso",""
"passed","Sun Dec 04 09:59:57 BRT 2022","Sun Dec 04 09:59:57 BRT 2022","562","","Login","","","","Validar clicar no botao inscrever-se redireciona para página de inscrição",""
"passed","Sun Dec 04 09:59:55 BRT 2022","Sun Dec 04 09:59:56 BRT 2022","1221","","Login","","","","Validar Fazer login com senha incorreta retorna mensagem de erro 'Email ou senha inválidos'",""
"passed","Sun Dec 04 09:59:13 BRT 2022","Sun Dec 04 09:59:19 BRT 2022","6066","","Dashboard","","","","validar não redirecionar para tela de edição de gestor quando logado com colaborador",""
"passed","Sun Dec 04 09:59:56 BRT 2022","Sun Dec 04 09:59:57 BRT 2022","467","","Login","","","","Validar Fazer login sem preencher campos retorna mensagem de erro",""
"passed","Sun Dec 04 09:58:28 BRT 2022","Sun Dec 04 09:58:46 BRT 2022","18049","","Dashboard","","","","validar atualizar dados do gestor com sucesso",""
"passed","Sun Dec 04 09:57:18 BRT 2022","Sun Dec 04 09:57:21 BRT 2022","2556","","Inscrição","","","","Validar preencher campo nome com dado inválido retorna mensagem de erro 'Nome inválido'",""
"passed","Sun Dec 04 09:57:23 BRT 2022","Sun Dec 04 09:57:24 BRT 2022","1242","","Inscrição","","","","Validar preencher campo Telefone com dado inválido retorna mensagem de erro 'O telefone precisa ser válido.'",""
"passed","Sun Dec 04 09:59:51 BRT 2022","Sun Dec 04 09:59:53 BRT 2022","1431","","Login","","","","Validar fazer login do usuario colaborador com sucesso",""
